1/28,2000
1/30,2141
1/31,2170
2/1,2252
2/2,2334
2/3,2385
2/4,2428
2/5,2465
2/6,2491
2/6,2500
2/7,2538
2/8,2608
2/9,2685
2/10,2784
2/11,2852
2/12,2904
2/13,2944
2/14,2977
2/15,3010
2/16,3115
2/17,3241
2/18,3317
2/19,3375
2/20,3413
2/21,3442
2/22,3482
2/23,3589
2/24,3658
2/25,3728
2/26,3782
2/27,3811
2/28,3881
2/29,4025
3/1,4096
3/2,4159
3/3,4208
3/4,4267
3/5,4301
3/6,4369
3/7,4497
3/8,4638
3/9,4730
3/10,4797
3/11,4840
3/12,4884
3/13,4923
3/14,4970
3/15,5085
